Initials,Date,Course_ID,Time(m),Summary
PF,1/9/2023,BUSA 301-01,20,Discussion board
PF,1/9/2023,FINA 315-01,75,Chapter 1 HW
PF,1/10/2023,CHEM 117-01,10,News article summary
PF,1/12/2023,CHEM 117L-01,25,lab report
PF,1/14/2023,PHIL 301-ON2,60,watching lectures
PF,1/15/2023,HIST 117-ON1,30,chapter 1 quiz
PF,16-Jan,BUSA 301-01,60 min,Ch. 1 Powerpoint
PF,1/16/2023,FINA 315-01,20 min,Mindtap HW
PF,1/18/2023,PHIL 301-ON2,60,watching lectures
PF,1/19/2023,FINA 315-01,80,final project part 1
PF,1/22/2023,HIST 117-ON1,25,quiz
PF,1/23/2023,CHEM 117L-01,30,lab report
PF,1/26/2023,BUSA 301-01,15,Amazon presentation
PF,1/29/2023,HIST 117-ON1,120,Essay 1
PF,30-Jan,FINA 315-01,40,study for test 1
PF,2/2/2023,FINA 315-01,35,Mindtap HW
PF,2/5/2023,FINA 315-01,45,Mindtap HW
PF,2/6/2023,CHEM 117-01,20,News article summary
PF,2/8/2023,FINA 315-01,145,final project part 2
PF,2/9/2023,BUSA 301-01,20,study for test 1
,2/12/2023,BUSA 301-01,45,study for test 1
,12-Feb,HIST 117-ON1,35,quiz
